agency_number,agency_name,recaptured_sp_ptab,recaptured_coe,year,total_recaptured
030240020,CITY OF COUNTRY CLUB HILLS   RB,-1396,0,2022,-1396
030240024,CITY OF COUNTRY CLUB HILLS 2016 BOND ESCROW,-1514,0,2022,-1514
030240025,CITY OF COUNTRY CLUB HILLS 2017 BOND ESCROW,-1735,0,2022,-1735
030240080,CITY OF COUNTRY CLUB HILLS FIRE PENS ESCROW,-16278,0,2022,-16278
030240085,CITY OF COUNTRY CLUB HILLS POLICE PENSION,-43244,0,2022,-43244
030250020,CITY OF COUNTRYSIDE   RB,-1371,-82,2022,-1453
030250500,TIF CITY OF COUNTRYSIDE-COMMERCIAL,-5314,0,2022,-5314
030250501,TIF CITY OF COUNTRYSIDE-55TH ST COMMERCIAL,0,-4048,2022,-4048
030260000,VILLAGE OF   CRESTWOOD,-68839,-12054,2022,-80893
030260020,VILLAGE OF CRESTWOOD   RB,-2779,-636,2022,-3415
030260085,VILLAGE OF CRESTWOOD POLICE PENSION ESCROW,-3232,-548,2022,-3780
030260501,TIF VIL OF CRESTWOOD-135TH ST/CICERO AVE,-150477,0,2022,-150477
030260502,TIF VIL OF CRESTWOOD-ROUTE 83,-643,0,2022,-643
030280000,VILLAGE OF   DEERFIELD,-27286,0,2022,-27286
030280001,VILLAGE OF DEERFIELD LIBRARY FUND,-17783,0,2022,-17783
030280020,VILLAGE OF DEERFIELD   RB,-1005,0,2022,-1005
030290000,CITY OF   DES PLAINES,-113397,-303,2022,-113700
030290001,CITY OF DES PLAINES LIBRARY FUND,-57938,-184,2022,-58122
030290020,CITY OF DES PLAINES   RB,-2292,-8,2022,-2300
030290080,CITY OF DES PLAINES FIRE PENSION ESCROW,-56847,-211,2022,-57058
030290085,CITY OF DES PLAINES POLICE PENSION ESCROW,-60150,-226,2022,-60376
030290500,TIF CITY OF DES PLAINES-DOWNTOWN,-138699,0,2022,-138699
030290504,TIF CITY OF DES PLAINES-5,-105676,0,2022,-105676
030290507,TIF CITY OF DES PLAINES-OAKTON ST,-12304,0,2022,-12304
030300000,VILLAGE OF   DIXMOOR,-17022,0,2022,-17022
030300020,VILLAGE OF DIXMOOR   RB,-20,0,2022,-20
030300021,VILLAGE OF DIXMOOR ESCROW,-1473,0,2022,-1473
030300501,TIF VIL OF DIXMOOR-2,-42880,0,2022,-42880
030310000,VILLAGE OF DOLTON,-140842,-1213,2022,-142055
030310020,VILLAGE OF DOLTON   RB,-34,-3,2022,-37
030310022,VILLAGE OF DOLTON BOND ESCROW ACCOUNT,0,-247,2022,-247
030310023,VILLAGE OF DOLTON 2009A BOND ESCROW,-10569,0,2022,-10569
030310024,VILLAGE OF DOLTON 2009B BOND ESCROW,-5433,0,2022,-5433
030310025,VILLAGE OF DOLTON 2009C BOND ESCROW,-15032,0,2022,-15032
030310026,VILLAGE OF DOLTON 2020 BOND ESCROW,-1581,0,2022,-1581
030310080,VILLAGE OF DOLTON FIRE PENSION ESCROW,-14061,-82,2022,-14143
030310085,VILLAGE OF DOLTON - POLICE PENSION ESCROW,-23084,-129,2022,-23213
030310501,TIF VIL OF DOLTON-2,-5427,0,2022,-5427
030330000,VILLAGE OF EAST HAZELCREST,-13820,0,2022,-13820
030330020,VILLAGE OF EAST HAZELCREST RB,-25,0,2022,-25
030340000,CITY OF ELGIN,-116710,-69,2022,-116779
030340020,CITY OF ELGIN RB,-3033,-2,2022,-3035
030340080,CITY OF ELGIN FIRE PENSION ESCROW,-20838,-12,2022,-20850
030340085,CITY OF ELGIN POLICE PENSION ESCROW,-27808,-16,2022,-27824
030350000,VILLAGE OF ELK GROVE VILLAGE,-197744,-569,2022,-198313
030350001,VILLAGE OF ELK GROVE VILLAGE LIBRARY,-110247,-348,2022,-110595
030350020,VILLAGE OF ELK GROVE VILLAGE RB,-2466,-8,2022,-2474
030350080,VILLAGE OF ELK GROVE VILLAGE FIRE PENSION,-60837,-191,2022,-61028
030350085,VILLAGE OF ELK GROVE VILLAGE POLICE PENSION,-48603,-145,2022,-48748
030350500,TIF VIL OF ELK GROVE VILLAGE-GROVE MALL,-29493,0,2022,-29493
030350501,TIF VIL OF ELK GROVE VILLAGE-BUSSE/ELMHURST,-13875,0,2022,-13875
030350502,TIF VIL OF ELK GROVE VILLAGE-HIGGINS RD CORR,-17645,0,2022,-17645
030360501,TIF VIL OF ELK GROVE VILLAGE-DEVON/ROHLWING,-43357,0,2022,-43357
030370000,VILLAGE OF   ELMWOOD PARK,-30731,-1977,2022,-32708
030370001,VILLAGE OF ELMWOOD PARK LIBRARY FUND,-5155,-359,2022,-5514
030370020,VILLAGE OF ELMWOOD PARK   RB,-955,-70,2022,-1025
030370080,VILLAGE OF ELMWOOD PARK FIRE PENSION ESCROW,-5199,-325,2022,-5524
030370085,VILLAGE OF ELMWOOD PARK POLICE PENSION,-7395,-473,2022,-7868
030370501,TIF VIL OF ELMWOOD PARK-GRAND AVE CORRIDOR,-4341,0,2022,-4341
030370503,TIF VIL OF ELMWOOD PARK-GRAND AVE CORR II,-3023,0,2022,-3023
030380000,CITY OF EVANSTON,-146696,-12291,2022,-158987
030380001,CITY OF EVANSTON LIBRARY FUND,-75016,-6512,2022,-81528
030380002,CITY OF EVANSTON GENERAL ASSISTANCE,-11559,-1024,2022,-12583
030380021,CITY OF EVANSTON - ESCROW ACCOUNT,-137528,-12104,2022,-149632
030380080,CITY OF EVANSTON FIRE PENSION ESCROW,-92959,-8088,2022,-101047
030380085,CITY OF EVANSTON POLICE PENSION ESCROW,-113046,-9755,2022,-122801
030380103,CITY OF EVANSTON SPECIAL SERVICE AREA NO.4,-2242,0,2022,-2242
030380105,CITY OF EVANSTON SPECIAL SERVICE AREA 6,-4360,0,2022,-4360
030380106,CITY OF EVANSTON SPECIAL SERVICE AREA 7,-2356,0,2022,-2356
030380107,CITY OF EVANSTON SPECIAL SERVICE AREA 8,-1451,0,2022,-1451
030380108,CITY OF EVANSTON SPECIAL SERVICE AREA 9,-5222,-2827,2022,-8049
030380504,TIF CITY OF EVANSTON-AREA 5,-3449,0,2022,-3449
030380505,TIF CITY OF EVANSTON-AREA 6,-54093,-15639,2022,-69732
030380507,TIF CITY OF EVANSTON-CHICAGO/MAIN,-37515,0,2022,-37515
030390000,VILLAGE OF   EVERGREEN PARK,-127791,-175,2022,-127966
030390001,VILLAGE OF EVERGREEN PARK LIBRARY FUND,-24645,-34,2022,-24679
030390020,VILLAGE OF EVERGREEN PARK   RB,-1390,-2,2022,-1392
030390080,VILLAGE OF EVERGREEN PARK FIRE PENS ESCROW,-5212,-8,2022,-5220
030390085,VILLAGE OF EVERGREEN PARK POLICE PENSION,-25949,-36,2022,-25985
030390502,TIF VIL OF EVERGREEN PARK-95TH ST,-72572,0,2022,-72572
030400000,VILLAGE OF   FLOSSMOOR,-17401,-14232,2022,-31633
030400001,VILLAGE OF FLOSSMOOR LIBRARY FUND,-4479,-3764,2022,-8243
030400020,VILLAGE OF FLOSSMOOR   RB,-328,-319,2022,-647
030400080,VILLAGE OF FLOSSMOOR FIRE PENSION ESCROW,-916,-866,2022,-1782
030400085,VILLAGE OF FLOSSMOOR POLICE PENSION ESCROW,-2428,-2380,2022,-4808
030410000,VILLAGE OF FORD HEIGHTS,-12407,0,2022,-12407
030410020,VILLAGE OF FORD HEIGHTS   RB,-88,0,2022,-88
030410022,VILLAGE OF FORD HEIGHTS JUDGEMENT FUND,-5634,0,2022,-5634
030410024,VILLAGE OF FORD HEIGHTS IMRF ESCROW ACCOUNT,-310,0,2022,-310
030420000,VILLAGE OF   FOREST PARK,-40864,-764,2022,-41628
030420001,VILLAGE OF FOREST PARK LIBRARY FUND,-22632,-454,2022,-23086
030420080,VILLAGE OF FOREST PARK FIRE PENSION ESCROW,-12977,-303,2022,-13280
030420085,VILLAGE OF FOREST PARK POLICE PENSION ESCROW,-15082,-332,2022,-15414
030420501,TIF VIL OF FOREST PARK-BRWN ST STAT/HARLEM,-11403,0,2022,-11403
030420504,TIF VIL OF FOREST PARK-ROOSEVELT RD CORRIDOR,-2219,0,2022,-2219
030430000,VILLAGE OF   FORESTVIEW,-27605,0,2022,-27605
030430020,VILLAGE OF FOREST VIEW   RB,-191,0,2022,-191
030430080,VILLAGE OF FORESTVIEW FIRE PENSION ESCROW,-3905,0,2022,-3905
030430085,VILLAGE OF FORESTVIEW POLICE PENSION ESCROW,-8429,0,2022,-8429
030450000,VILLAGE OF   FRANKLIN PARK,-184823,-5194,2022,-190017
030450020,VILLAGE OF FRANKLIN PARK RB,-8115,-239,2022,-8354
030450021,VILLAGE OF FRANKLIN PARK ESCROW ACCOUNT,-16368,-502,2022,-16870
030450080,VILLAGE OF FRANKLIN PARK FIRE PENSION ESCROW,-39977,-1214,2022,-41191
030450085,VILLAGE OF FRANKLIN PARK POLICE PENSION,-45204,-1382,2022,-46586
030450104,VILLAGE OF FRANKLIN PK SPEC SERV AREA 2014-1,-3937,0,2022,-3937
030450500,TIF VIL OF FRANKLIN PARK-WEST MANNHEIM RESD,-50185,0,2022,-50185
030450502,TIF VIL OF FRANKLIN PARK-MANNHEIM/GRAND,-8077,-1336,2022,-9413
030450505,TIF VIL OF FRANKLIN PARK-DTWN FRANKLIN AVE,-3001,0,2022,-3001
030460000,VILLAGE OF   GLENCOE,-144148,-9558,2022,-153706
030460001,VILLAGE OF GLENCOE LIBRARY FUND,-32200,-2117,2022,-34317
030460020,VILLAGE OF GLENCOE   RB,-31,0,2022,-31
030460080,VILLAGE OF GLENCOE FIRE PENSION ESCROW,-124,-8,2022,-132
030460085,VILLAGE OF GLENCOE POLICE PENSION ESCROW,-16473,-1078,2022,-17551
030470000,VILLAGE OF   GLENVIEW,-41616,-1443,2022,-43059
030470001,VILLAGE OF GLENVIEW LIBRARY FUND,-75560,-3079,2022,-78639
030470020,VILLAGE OF GLENVIEW   RB,-4347,-200,2022,-4547
030470080,VILLAGE OF GLENVIEW FIRE PENSION ESCROW,-43696,-1899,2022,-45595
030470085,VILLAGE OF GLENVIEW POLICE PENSION ESCROW,-28439,-1202,2022,-29641
030470123,VILLAGE OF GLENVIEW SPEC SERV AREA #38,-549,0,2022,-549
030470125,VIL OF GLENVIEW SPEC SERV AREA #40,-31,0,2022,-31
030470126,VIL OF GLENVIEW SPEC SERV AREA #41,-49,0,2022,-49
030470128,VIL OF GLENVIEW SPEC SERV AREA #43,-42,0,2022,-42
030470129,VIL OF GLENVIEW SPEC SERV AREA #44,-26,0,2022,-26
030470131,VILLAGE OF GLENVIEW SPECIAL SERVICE AREA 46,-130,0,2022,-130
030470135,VIL OF GLENVIEW SPEC SERV AREA #50,-119,0,2022,-119
030470147,VIL OF GLENVIEW SPECIAL SERVICE AREA 62,-283,0,2022,-283
030470166,VILLAGE OF GLENVIEW SPECIAL SERVICE AREA 81,-87,0,2022,-87
030470175,VILLAGE OF GLENVIEW SPECIAL SERVICE AREA 90,-36,0,2022,-36
030470182,VILLAGE OF GLENVIEW SPECIAL SERVICE AREA 97,-69,0,2022,-69
030470500,TIF VIL OF GLENVIEW-NAVAL AIR STATION,-149536,-3224,2022,-152760
030480000,VILLAGE OF GLENWOOD,-74567,0,2022,-74567
030480020,VILLAGE OF GLENWOOD RB,-556,0,2022,-556
030480080,VILLAGE OF GLENWOOD FIRE PENSION ESCROW,-4063,0,2022,-4063
030480085,VILLAGE OF GLENWOOD POLICE PENSION ESCROW,-18637,0,2022,-18637
030480500,TIF VIL OF GLENWOOD-INDUSTRIAL PARK,-38399,0,2022,-38399
030480502,TIF VIL OF GLENWOOD-MAIN ST,-2857,0,2022,-2857
030480508,TIF VIL OF GLENWOOD-STATE STREET,-15073,0,2022,-15073
030480510,TIF VIL OF GLENWOOD-SOUTH HALSTED ST,-1160,0,2022,-1160
030490000,VILLAGE OF GOLF,-1529,0,2022,-1529
030500000,VILLAGE OF   HANOVER PARK,-13774,-6251,2022,-20025
030500020,VILLAGE OF HANOVER PARK   RB,-316,-67,2022,-383
030500080,VILLAGE OF HANOVER PARK FIRE ESCROW,-2617,-1257,2022,-3874
030500085,VILLAGE OF HANOVER PARK POLICE PENSION,-4359,-2093,2022,-6452
030500103,VIL OF HANOVER PARK SPEC SERV AREA 4,-1232,0,2022,-1232
030500503,TIF VIL OF HANOVER PARK-4,-3662,-12285,2022,-15947
030500504,TIF VIL OF HANOVER PARK-5,0,-1382,2022,-1382
030510000,CITY OF   HARVEY,-141820,-1356,2022,-143176
030510020,CITY OF HARVEY   RB,-21,-0,2022,-21
030510021,CITY OF HARVEY ESCROW ACCOUNT,-6682,-60,2022,-6742
030510023,CITY OF HARVEY - JAWA BOND ESCROW ACCOUNT,-4492,-63,2022,-4555
030510024,CITY OF HARVEY 2007A + 2007B ESCROW,-25696,-414,2022,-26110
030510025,CITY OF HARVEY 2002C SUPP ESCROW,-403,-82,2022,-485
030510080,CITY OF HARVEY FIRE PENSION ESCROW,-29399,-477,2022,-29876
030510085,CITY OF HARVEY POLICE PENSION ESCROW,-16401,-265,2022,-16666
030510504,TIF CITY OF HARVEY-SIBLEY BLVD/DIXIE HWY,-51060,0,2022,-51060
030510506,TIF CITY OF HARVEY-ARCO/147TH ST,-13018,0,2022,-13018
030520000,VILLAGE OF   HARWOOD HEIGHTS,-7470,-32,2022,-7502
030520020,VILLAGE HARWOOD HEIGHTS   RB,-245,-1,2022,-246
030520085,VILLAGE OF HARWOOD HEIGHTS POLICE PENSION,-10385,-55,2022,-10440
030530000,VILLAGE OF   HAZELCREST,-58652,-2633,2022,-61285
030530020,VILLAGE OF HAZELCREST   RB,-232,-12,2022,-244
030530080,VILLAGE OF HAZELCREST FIRE PENSION ESCROW,-4200,-200,2022,-4400
030530085,VILLAGE OF HAZELCREST POLICE PENSION ESCROW,-11847,-549,2022,-12396
030530503,TIF VIL OF HAZELCREST-HAZELCREST PROPER,-3346,0,2022,-3346
030530504,TIF VIL OF HAZELCREST-167TH ST CORRIDOR,-856,0,2022,-856
030540000,CITY OF HICKORY HILLS,-8175,-620,2022,-8795
030540020,CITY OF HICKORY HILLS   RB,-183,-13,2022,-196
030540085,CITY OF HICKORY HILLS POLICE PENSION ESCROW,-5526,-431,2022,-5957
030550000,VILLAGE OF   HILLSIDE,-233904,0,2022,-233904
030550001,VILLAGE OF HILLSIDE LIBRARY FUND,-36735,0,2022,-36735
030550080,VILLAGE OF HILLSIDE FIRE PENSION ESCROW,-38042,0,2022,-38042
030550085,VILLAGE OF HILLSIDE POLICE PENSION ESCROW,-48704,0,2022,-48704
030550503,TIF VIL OF HILLSIDE-ROOSEVELT ROAD,-15822,0,2022,-15822
030560000,VILLAGE OF   HINSDALE,-6151,-1356,2022,-7507
030560001,VILLAGE OF HINSDALE LIBRARY FUND,-3453,-769,2022,-4222
030560020,VILLAGE OF HINSDALE   RB,-371,-79,2022,-450
030560080,VILLAGE OF HINSDALE FIRE PENSION ESCROW,-1162,-272,2022,-1434
030560085,VILLAGE OF HINSDALE POLICE PENSION ESCROW,-710,-162,2022,-872
030560112,VILLAGE OF HINSDALE SPEC SERV AREA #13,-1928,0,2022,-1928
030570000,VILLAGE OF HODGKINS,-313784,0,2022,-313784
030570020,VILLAGE OF HODGKINS   RB,-4078,0,2022,-4078
030570085,VILLAGE OF HODGKINS POLICE PENSION ESCROW,-100959,0,2022,-100959
030570503,TIF VIL OF HODGKINS-EAST AVE #4,-8106,0,2022,-8106
030580000,VILLAGE OF   HOFFMAN ESTATES,-183008,-171,2022,-183179
030580020,VILLAGE OF HOFFMAN ESTATES   RB,-2899,-7,2022,-2906
030580080,VILLAGE OF HOFFMAN ESTATES FIRE PENSION,-73426,-43,2022,-73469
030580085,VILLAGE OF HOFFMAN ESTATES POLICE PENSION,-86457,-48,2022,-86505
030580500,TIF VIL OF HOFFMAN ESTATES-SEARS,441990,0,2022,441990
030580501,TIF VIL OF HOFFMAN ESTATES-BARR/HIGGINS,-10369,0,2022,-10369
030580502,TIF VIL OF HOFFMAN EST-GOLF/HIGGINS/ROSELLE,-11138,0,2022,-11138
030580503,TIF VIL OF HOFFMAN ESTATES-HIGGINS/HASSELL,-8897,0,2022,-8897
030590000,CITY OF   HOMETOWN,-2165,-2548,2022,-4713
030590001,CITY OF HOMETOWN LIBRARY FUND,-381,-450,2022,-831
030590020,CITY OF HOMETOWN   RB,-41,-46,2022,-87
030600000,VILLAGE OF   HOMEWOOD,-83345,-784,2022,-84129
030600020,VILLAGE OF HOMEWOOD   RB,-791,-18,2022,-809
030600080,VILLAGE OF HOMEWOOD FIRE PENSION ESCROW,-13471,-100,2022,-13571
030600085,VILLAGE OF HOMEWOOD POLICE PENSION ESCROW,-36716,-261,2022,-36977
030600502,TIF VIL OF HOMEWOOD-187TH ST/DIXIE HWY,-272,0,2022,-272
030600506,TIF VIL OF HOMEWOOD-NORTHEAST,-73458,0,2022,-73458
030600507,TIF VIL OF HOMEWOOD-DOWNTOWN TOD,-6171,0,2022,-6171
030610000,VILLAGE OF   INDIAN HEAD PARK,-6156,-668,2022,-6824
030610020,VILLAGE OF INDIAN HEAD PARK   RB,-145,-16,2022,-161
030630000,VILLAGE OF INVERNESS,-10449,-339,2022,-10788
030630020,VILLAGE OF INVERNESS RB,-580,-17,2022,-597
030640000,VILLAGE OF   JUSTICE,-8337,-932,2022,-9269
030640020,VILLAGE OF JUSTICE   RB,-264,-33,2022,-297
030640021,VILLAGE OF JUSTICE ESCROW ACCOUNT,0,-85,2022,-85
030640080,VILLAGE OF JUSTICE FIRE PENSION ESCROW,0,-5,2022,-5
030640085,VILLAGE OF JUSTICE POLICE PENSION ESCROW,-5028,-530,2022,-5558
030640503,TIF VIL OF JUSTICE-4,-101,0,2022,-101
030650000,VILLAGE OF   KENILWORTH,-48131,0,2022,-48131
030650085,VILLAGE OF KENILWORTH POLICE PENSION ESCROW,-9202,0,2022,-9202
030650500,TIF VIL OF KENILWORTH-GREEN BAY ROAD,-5538,0,2022,-5538
030660000,VILLAGE OF   LA GRANGE,-31390,-2341,2022,-33731
030660001,VILLAGE OF LA GRANGE LIBRARY FUND,-22318,-1686,2022,-24004
030660020,VILLAGE OF LA GRANGE   RB,-1057,-81,2022,-1138
030660080,VILLAGE OF LAGRANGE FIRE PENSION ESCROW,-9214,-733,2022,-9947
030660085,VILLAGE OF LAGRANGE POLICE PENSION ESCROW,-11939,-897,2022,-12836
030660101,VIL OF LAGRANGE SPECIAL SERVICE AREA 7,-4604,0,2022,-4604
030670000,VILLAGE OF   LA GRANGE PARK,-25363,0,2022,-25363
030670085,VILLAGE OF LAGRANGE PARK POLICE PENSION,-7059,0,2022,-7059
030670500,TIF VIL OF LA GRANGE PARK-VILLAGE MARKET,-6328,0,2022,-6328
030680000,VILLAGE OF LANSING,-172922,-339,2022,-173261
030680001,VILLAGE OF LANSING LIBRARY FUND,-65355,-127,2022,-65482
030680020,VILLAGE OF LANSING   RB,-346,-2,2022,-348
030680080,VILLAGE OF LANSING FIRE PENSION ESCROW,-33506,-64,2022,-33570
030680085,VILLAGE OF LANSING POLICE PENSION ESCROW,-91972,-176,2022,-92148
030680500,TIF VIL OF LANSING,-4176,0,2022,-4176
030680502,TIF VIL OF LANSING-WEST LANSING,-110835,0,2022,-110835
030680503,TIF VIL OF LANSING-BERNICE RD,-20440,0,2022,-20440
030680504,TIF VIL OF LANSING-TORRANCE AVE CORRIDOR,-12457,-468,2022,-12925
030690000,VILLAGE OF LEMONT,-13655,-1221,2022,-14876
030690020,VILLAGE OF LEMONT RB,-520,-49,2022,-569
030690085,VILLAGE OF LEMONT POLICE PENSION ESCROW,-4691,-495,2022,-5186
030690504,TIF VIL OF LEMONT-TRANSIT TOD,-667,0,2022,-667
030700000,VILLAGE OF   LINCOLNWOOD,-39895,-552,2022,-40447
030700085,VILLAGE OF LINCOLNWOOD POLICE PENSION ESCROW,-20312,-325,2022,-20637
030700503,TIF VIL OF LINCOLNWOOD-DEVON/LINCOLN,-19697,-591,2022,-20288
030710000,VILLAGE OF   LYNWOOD,-16246,-1091,2022,-17337
030710020,VILLAGE OF LYNWOOD   RB,-498,-33,2022,-531
030710085,VILLAGE OF LYNWOOD POLICE PENSION ESCROW,-3412,-237,2022,-3649
030720000,VILLAGE OF   LYONS,-34875,-505,2022,-35380
030720001,VILLAGE OF LYONS LIBRARY FUND,-9450,-136,2022,-9586
030720020,VILLAGE OF LYONS   RB,-430,-7,2022,-437
030720080,VILLAGE OF LYONS FIRE PENSION ESCROW,-764,-6,2022,-770
030720085,VILLAGE OF LYONS POLICE PENSION ESCROW,-15703,-229,2022,-15932
030720501,TIF VIL OF LYONS-2,-3052,0,2022,-3052
030720502,TIF VIL OF LYONS-3,-35650,0,2022,-35650
030730000,CITY OF   MARKHAM,-92624,0,2022,-92624
030730001,CITY OF MARKHAM LIBRARY FUND,-9509,0,2022,-9509
030730020,CITY OF MARKHAM   RB,-256,0,2022,-256
030730022,CITY OF MARKHAM LIBRARY BOND ESCROW ACCOUNT,-3399,0,2022,-3399
030730023,CITY OF MARKHAM 2008A BOND ESCROW ACCOUNT,-9722,0,2022,-9722
030730024,CITY OF MARKHAM 2008B BOND ESCROW ACCOUNT,-7340,0,2022,-7340
030730080,CITY OF MARKHAM FIRE PENSION ESCROW,-6042,0,2022,-6042
030730085,CITY OF MARKHAM - POLICE PENSION ESCROW,-9953,0,2022,-9953
030730503,TIF CITY OF MARKHAM-DIXIE HIGHWAY,-56410,0,2022,-56410
030740000,VILLAGE OF   MATTESON,-68080,-595,2022,-68675
030740020,VILLAGE OF MATTESON   RB,-2851,-30,2022,-2881
030740021,VILLAGE OF MATTESON BOND ESCROW,0,-4,2022,-4
030740022,VILLAGE OF MATTESON ESCROW 2018,-1619,-20,2022,-1639
030740080,VILLAGE OF MATTESON FIRE PENSION ESCROW,-22393,-264,2022,-22657
030740085,VILLAGE OF MATTESON POLICE PENSION ESCROW,-24780,-266,2022,-25046
030740503,TIF VIL OF MATTESON-LINCOLN HWY/CICERO,-10134,0,2022,-10134
030750000,VILLAGE OF MAYWOOD,-116093,-6023,2022,-122116
030750021,VILLAGE OF MAYWOOD ESCROW ACCOUNT,0,-1295,2022,-1295
030750080,VILLAGE OF MAYWOOD FIRE PENSION ESCROW,-21524,-1355,2022,-22879
030750085,VILLAGE OF MAYWOOD POLICE PENSION ESCROW,-28084,-1924,2022,-30008
030750501,TIF VIL OF MAYWOOD-MADISON ST/FIFTH AVE,-66473,-5299,2022,-71772
030750502,TIF VIL OF MAYWOOD-ROOSEVELT RD,-6619,0,2022,-6619
030760000,VILLAGE OF   MC COOK,-136775,0,2022,-136775
030760020,VILLAGE OF MC COOK   RB,-651,0,2022,-651
030760500,TIF VIL OF MC COOK-FIRST AVE,-72307,0,2022,-72307
030760501,TIF VIL OF MC COOK-JOLIET RD,-9101,0,2022,-9101
030770000,VILLAGE OF   MELROSE PARK,-123849,-6856,2022,-130705
030770001,VILLAGE OF MELROSE PARK LIBRARY FUND,-11406,-737,2022,-12143
030770020,VILLAGE OF MELROSE PARK   RB,-1847,0,2022,-1847
030770021,VILLAGE OF MELROSE PARK ESCROW ACCOUNT,0,-482,2022,-482
030770026,VILLAGE OF MELROSE PARK 2010B ESCROW ACCT,0,-947,2022,-947
030770028,VILLAGE OF MELROSE PARK 2016 ESCROW ACCT,-5902,0,2022,-5902
030770080,VILLAGE OF MELROSE PARK FIRE PENSION ESCROW,-30038,-824,2022,-30862
030770085,VILLAGE OF MELROSE PARK - POLICE PENSION,-23415,-626,2022,-24041
030770500,TIF VIL OF MELROSE PARK-MID METRO IND AREA,-36081,-42193,2022,-78274
030770502,TIF VIL OF MELROSE PARK-NORTH AVE/25TH AVE,-3583,0,2022,-3583
030770506,TIF VIL OF MELROSE PARK-SENIORS FIRST,-66488,0,2022,-66488
030770509,TIF VIL OF MELROSE PARK-LAKE ST CORRIDOR,-1794,0,2022,-1794
030770510,TIF VIL OF MELROSE PARK-CHICAGO/SUPERIOR,-3135,0,2022,-3135
030780000,VILLAGE OF   MERRIONETTE PARK,-7524,0,2022,-7524
030780020,VILLAGE OF MERRIONETTE PARK   RB,-121,0,2022,-121
030800000,VILLAGE OF   MIDLOTHIAN,-48765,-2654,2022,-51419
030800001,VILLAGE OF MIDLOTHIAN LIBRARY FUND,-22618,-1276,2022,-23894
030800020,VILLAGE OF MIDLOTHIAN   RB,-847,-47,2022,-894
030800021,VILLAGE OF MIDLOTHIAN ESCROW ACCOUNT,-5310,-295,2022,-5605
030800022,VILLAGE OF MIDLOTHIAN - JAWA BOND ESCR ACCT,-10,0,2022,-10
030800080,VILLAGE OF MIDLOTHIAN FIRE PENSION ESCROW,-13035,-759,2022,-13794
030800085,VILLAGE OF MIDLOTHIAN POLICE PENSION ESCROW,-10133,-616,2022,-10749
030800501,TIF VIL OF MIDLOTHIAN-147TH/CICER0-2013,-5005,0,2022,-5005
030810000,VILLAGE OF   MORTON GROVE,-34711,0,2022,-34711
030810001,VILLAGE OF MORTON GROVE LIBRARY FUND,-21920,0,2022,-21920
030810020,VILLAGE OF MORTON GROVE   RB,-63,0,2022,-63
030810080,VILLAGE OF MORTON GROVE FIRE PENSION ESCROW,-18364,0,2022,-18364
030810085,VILLAGE OF MORTON GROVE POLICE PENSION,-18571,0,2022,-18571
030810501,TIF VIL OF MORTON GROVE-FERRIS/LEIGH,-19146,0,2022,-19146
030820000,VILLAGE OF   MT PROSPECT,-136438,-883,2022,-137321
030820001,VILLAGE OF MOUNT PROSPECT LIBRARY FUND,-128721,-831,2022,-129552
030820020,VILLAGE OF MT PROSPECT   RB,-1445,-10,2022,-1455
030820080,VILLAGE OF MOUNT PROSPECT FIRE PENSION,-36162,-231,2022,-36393
030820085,VILLAGE OF MT. PROSPECT POLICE PENSION,-40220,-251,2022,-40471
030820104,VIL MT PROSPECT SPEC SERV AREA5,-4390,0,2022,-4390
030820501,TIF VIL OF MOUNT PROSPECT-PROSPECT & MAIN,-12223,0,2022,-12223
030830000,VILLAGE OF   NILES,-337072,-469,2022,-337541
030830020,VILLAGE OF NILES   RB-BOND,-1025,-5,2022,-1030
030830080,VILLAGE OF NILES FIRE PENSION ESCROW,-8172,-56,2022,-8228
030830085,VILLAGE OF NILES POLICE PENSION ESCROW,-8432,-57,2022,-8489
030830505,TIF VIL OF NILES-6 GROSS POINT TOUHY,-67237,0,2022,-67237
030830506,TIF VIL OF NILES-MILWAUKEE/HARLEM,-7703,0,2022,-7703
030830508,TIF VIL OF NILES-MILWAUKEE/OAKTON,-13060,0,2022,-13060
030830509,TIF VIL OF NILES-MILWAUKEE/DEMPSTER,-946,0,2022,-946
030840000,VILLAGE OF   NORRIDGE,-46,-3,2022,-49
030840020,VILLAGE OF NORRIDGE   RB,-729,-34,2022,-763
030840085,VILLAGE OF NORRIDGE - POLICE PENSION ESCROW,-18131,-1283,2022,-19414
030850000,CITY OF   NORTH LAKE,-72473,-219,2022,-72692
030850020,CITY OF NORTH LAKE   RB,-3119,-11,2022,-3130
030850085,CITY OF NORTH LAKE POLICE PENSION ESCROW,-22436,-68,2022,-22504
030860000,VILLAGE OF   NORTH RIVERSIDE,-3932,0,2022,-3932
030870000,VILLAGE OF   NORTHBROOK,-156695,-44779,2022,-201474
030870001,VILLAGE OF NORTHBROOK LIBRARY FUND,-107814,-30336,2022,-138150
030870020,VILLAGE OF NORTHBROOK   RB,-6696,-1853,2022,-8549
030870080,VILLAGE OF NORTHBROOK FIRE PENSION ESCROW,-49944,-14989,2022,-64933
030870085,VILLAGE OF NORTHBROOK POLICE PENSION ESCROW,-46985,-13872,2022,-60857
030880000,VILLAGE OF   NORTHFIELD,-34838,-1501,2022,-36339
030880020,VILLAGE OF NORTHFIELD   RB,-541,-34,2022,-575
030880101,VIL OF NORTHFIELD SPECIAL SERVICE AREA 04-1,-1371,0,2022,-1371
